sentence1,sentence2,similarity,cosine_similarity
Glorious triple-gold night for Britain,Britain savors golden night on track,1,0.0
Soggy solstice: Stonehenge gets soaking,Summer solstice celebrated at Stonehenge despite rain,1,0.0
Sly Stallone's Sone Sage Found Dead in LA,Sylvester Stallone's Son Found Dead At Home,1,0.0
Venezuela's Chavez in Cuba for 3rd anti-cancer treatment,Venezuelan leader returning to Cuba for treatment,1,0.0
7 detained for 'house sister' scandal,"China detains 7 for ""house sister"" scandal",1,0.0
UK alert on Syrian chemical arms,West raises stakes over Syria chemical claims,1,0.0
Israel launches airstrike in Gaza,Israel launches air strikes near Damascus,1,0.0
19 hurt in New Orleans shooting,Police: 19 hurt in NOLA Mother's Day shooting,1,0.0
"Tornadoes level homes in Oklahoma, 1 dead","Tornadoes hit Kan., Okla.; no injuries reported",1,0.0
"Hassoun to Mauritanian delegation: conspiracy imposed on Syria targets its stances, particularly over Palestine","Mufti : conspiracy aginst Syria targets its stances, particularly towards Palestine",1,0.0
Japanese politician apologizes for sex comment,"Japan mayor apologizes to U.S., denies wrong words on ""comfort women""",1,0.0
Israeli forces detain Palestinian MP in Hebron,Israeli forces detain 2 Palestinians in overnight arrest raids,1,0.0
