sentence1,sentence2,similarity,jaccard_similarity
Business Week's online edition reported on Friday that WorldCom and the SEC could announce a settlement as early as Monday.,"BusinessWeek Online has learned that the settlement could come as early as Monday, May 19.",1,0.0
The company claims it's the largest single Apple VAR Xserve sale to date.,The company claimed it is the largest sale of Xserves by an Apple retailer.,1,0.0
"The Standard & Poor's 500 stock index ended the quarter up 120 points, a gain of 14 percent, the best performance for that broad market benchmark since 1998.","The Standard and Poor's 500-stock index, a broad collection of equities representing leading companies, finished its best quarter yesterday since the last three months of 1998.",1,0.0
"""I know of no pressure,"" said Mr. Feith, the under secretary of defense for policy.","""I know of nobody who pressured anybody,"" Douglas Feith, undersecretary of defense for policy, said at a Pentagon briefing.",1,0.0
"""Frank Quattrone is innocent,"" Keker said in a statement.",Quattrone lawyer John W. Keker said his client is innocent.,1,0.0
Protesters had been calling for an end to the country's hard-line establishment and for supreme leader Khamenei's death.,"The protesters denounced the country's supreme leader, hard-liner Ayatollah Ali Khamenei.",1,0.0
"Singapore is already the United States' 12th-largest trading partner, with two-way trade totaling more than $34 billion.","Although a small city-state, Singapore is the 12th-largest trading partner of the United States, with trade volume of $33.4 billion last year.",1,0.0
"The pound also made progress against the dollar, reached fresh three-year highs at $1.6789.","The British pound flexed its muscle against the dollar, last up 1 percent at $1.6672.",1,0.0
"Earlier Thursday, PeopleSoft formally rejected the unsolicited bid from Oracle.","Thursday morning, PeopleSoft's board rejected the Oracle takeover offer.",1,0.0
They are being held on immigration violations as the incident is investigated.,Both men are being held for investigation of administrative immigration violations.,1,0.0
Who will succeed Mr. O'Neill at Hyundai is not clear.,There is no clear successor for Mr. O'Neill at Hyundai.,1,0.0
Dotson was arrested Monday in his native Maryland and charged with murder.,"Dotson, 21, was subsequently charged with Dennehy's murder.",1,0.0
Putin hailed Saudi Arabia as ``one of the most important Muslim nations.,"Before the meeting, Putin said Russia regards Saudi Arabia as a key Muslim state.",1,0.0
"Mahmud controlled access to Saddam for everyone but immediate family members, Pentagon officials said.",Mahmud controlled access to Saddam and was frequently at his side.,1,0.0
BioReliance's stock closed down 2 cents yesterday at $47.98 per share.,"Shares of BioReliance sold at $47.98 at the close of market yesterday, down 2 cents.",1,0.0
"""Now, the other guy, he's ashamed of his party,"" Street said to crowd laughter.","""The other guy, he's ashamed of his party, and I don't blame him.",1,0.0
"In his new position, Dynes will earn $395,000, a significant increase over Atkinson's salary of $361,400.","Dynes will be paid $395,000 a year; Atkinson's salary is $361,400.",1,0.0
"Justices said that the Constitution allows the government to administer drugs only ""in limited circumstances.""","In a 6-3 ruling, the justices said such anti-psychotic drugs can be used only in ""limited circumstances.""",1,0.0
"Two astronomers surveying the region around Jupiter have detected 20 new moons, bringing the giant planet's total to 60.","Astronomers have clocked eight more moons orbiting Jupiter, bringing its known total to 60.",1,0.0
"The woman felt threatened and went to the magistrate's office, police said.",The woman reported that she felt threatened and obtained a warrant for Stackhouse's arrest from the local magistrate's office.,1,0.0
Higher courts have ruled that the tablets broke the constitutional separation of church and state.,The federal courts have ruled that the monument violates the constitutional ban against state-established religion.,1,0.0
"In two weeks, he'll probably send out Peace Rules in the Preakness.",Frankel said Peace Rules will run in the Preakness Stakes on May 17.,1,0.0
"""They were tossed around like feathers,"" Gordon said.","""The concrete barriers (between lanes) were being tossed around like feathers.""",1,0.0
"The router will be available in the first quarter of 2004 and will cost around $200, the company said.","Netgear prices the WGT634U Super Wireless Media Router, which will be available in the first quarter of 2004, at under $200.",1,0.0
The author is one of several defense experts expected to testify.,Spitz is expected to testify later for the defense.,1,0.0
"Police then called a bomb squad, but the device exploded, killing Wells, before bomb technicians arrived.","While waiting for a bomb squad to arrive, the bomb exploded, killing Wells.",1,0.0
School officials said Van-Vliet reported the accident using the busâ€™ radio.,"Van-Vliet, who was also injured, called in the accident on the school bus radio.",1,0.0
"Bulger's brother is now on the agency's ''10 Most Wanted'' list, sought in connection with 21 murders.","Bulger's brother, a former FBI informant, is now on the law enforcement agency's ""10 Most Wanted"" list.",1,0.0
"Gartner's report said global WLAN equipment shipments reached 19.5 million last year, a 120 percent increase over 2001's 8.9 million units.","Total shipments reached 19.5 million units last year, compared with 8.9 million units in 2001.",1,0.0
An arrest warrant claimed Bryant assaulted the woman June 30 at a hotel.,"According to an arrest warrant, Bryant, 24, attacked a woman on June 30.",1,0.0
FRIENDS of Robert De Niro yesterday rallied around him after he was diagnosed with prostate cancer.,"Hollywood actor Robert De Niro has been diagnosed with prostate cancer, his spokesman said today.",1,0.0
Graham is expected to be nominated and elected to a second one-year term today and will deliver the presidential address.,"Later Tuesday, Graham was expected to be re-elected for a second one-year term.",1,0.0
"Sources say agents confiscated ""several"" documents he was carrying.",Agents confiscated several classified documents in his possession and interrogated him.,1,0.0
Young has 28 days to file a response and ask the NASD for a hearing.,"Under NASD regulations, Mr. Young can file a response and request a hearing before an NASD panel.",1,0.0
INTEL TODAY disclosed details of its next-generation XScale processor for mobile phones and handheld devices here in San Jose.,"Intel on Wednesday unveiled its next-generation processor for cell phones, PDAs, and other wireless devices.",1,0.0
Kaichen appeared Wednesday in federal court on two bank robbery charges.,"She appeared in federal court Wednesday, but did not enter a plea.",1,0.0
"Authorities identified the tipster as Richard Powell, who is imprisoned for killing his landlady in 1982.",Powell is serving time in a different case -- killing his landlady in 1982.,1,0.0
Colorado shooting suspect was in therapy,Lawyers: Colo. shooting suspect is mentally ill,1,0.0
"Russia, China veto UN resolution on Syria endorsing","Russia, China veto U.N. draft backing Arab plan for Syria (Reuters)",1,0.0
Suspicious object found in Tel Aviv not explosive device,Police treat suspicious object at Tel Aviv bus station,1,0.0
Eurozone backs Greek bailout,Eurozone agrees Greece bail-out,1,0.0
"At CPAC, Mitt Romney Stresses Conservative Credentials",CPAC 2012: Mitt Romney Struggles to Connect with Conservative Base,1,0.0
Glorious triple-gold night for Britain,Britain savors golden night on track,1,0.0
Prince Philip hospitalised in London,"Britain's Prince Philip hospitalised, to miss jubilee",1,0.0
Gaza rockets lands in Ashkelon Coast area; none hurt,Rocket fired from Gaza damages home in Sderot; none hurt,1,0.0
Soggy solstice: Stonehenge gets soaking,Summer solstice celebrated at Stonehenge despite rain,1,0.0
Sly Stallone's Sone Sage Found Dead in LA,Sylvester Stallone's Son Found Dead At Home,1,0.0
Venezuela's Chavez in Cuba for 3rd anti-cancer treatment,Venezuelan leader returning to Cuba for treatment,1,0.0
Iraq Releases Suspected Hezbollah Operative Wanted By U.S.,Iraq Said to Release Hezbollah Operative,1,0.0
7 detained for 'house sister' scandal,"China detains 7 for ""house sister"" scandal",1,0.0
'Around 100 dead or injured' after China earthquake,Hundreds dead or injured in China quake,1,0.0
Cardinals enter Vatican for historic vote,Cardinals enter Sistine Chapel to elect pope,1,0.0
UK alert on Syrian chemical arms,West raises stakes over Syria chemical claims,1,0.0
"Red grapes and blueberries boost immune system, scientists say","Red grapes, blueberries boost human immunity",1,0.0
Indian police round up all five suspects in Mumbai rape case,Mumbai police arrest fifth suspect in gang-rape case,1,0.0
Demolition work begins on Don Valley Stadium,Demolition work to begin at stadium,1,0.0
Bangladesh Islamist execution upheld,Bangladesh executes opposition leader,1,0.0
Iran leader Rouhani says nuclear deal with U.S. possible within Â¿three monthsÂ¿,Iran President Hassan Rouhani wants nuclear deal in months,1,0.0
Israel launches airstrike in Gaza,Israel launches air strikes near Damascus,1,0.0
"Websites battle nasty comments, anonymity",Websites fight nasty comments by taking away anonymity,1,0.0
Guatemala arrests software guru John McAfee,"Held in Guatemala, software guru McAfee fights deportation",1,0.0
Cannes thief 'steals $53m of jewels' in armed heist at hotel,"Robber steals $53 million worth of jewels in Cannes, police say",1,0.0
"US Military Aircraft Hit in S. Sudan, 4 Wounded",US military aircraft shot at during evacuation mission in South Sudan,1,0.0
"One dead in Philadelphia building collapse, others pulled from rubble",Six confirmed dead after Philadelphia building collapse,1,0.0
Rosberg emulates father with Monaco win,FORMULA 1: Rosberg stays modest despite Monaco win,1,0.0
Israel expands subsidies to settlements,Israel widens settlement subsidies,1,0.0
"Tornadoes level homes in Oklahoma, 1 dead","Tornadoes hit Kan., Okla.; no injuries reported",1,0.0
"Margaret Thatcher, former U.K. PM, dead at 87",Margaret Thatcher dies at 87,1,0.0
Syria agrees to surrender chemical weapons,Syria FM: We will stop producing chemical weapons,1,0.0
U.S. fast-food workers plan nationwide strikes over minimum wage,Fast-food workers strike for higher pay,1,0.0
Japanese politician apologizes for sex comment,"Japan mayor apologizes to U.S., denies wrong words on ""comfort women""",1,0.0
Pakistanis vote in landmark election,Pakistan holds landmark election as 29 killed in attacks,1,0.0
Protests after George Zimmerman acquitted in Trayvon Martin case,Zimmerman acquitted in slaying,1,0.0
Maldives begins to vote in controversy-ridden presidential poll,Crisis-hit Maldives holds new presidential poll,1,0.0
Israeli police clash with Palestinian protesters at sensitive Jerusalem holy site,Israel Police Clash With Palestinians in Jerusalem,1,0.0
