sentence1,sentence2,similarity,jaccard_similarity
"Gold's rise pulled other precious metals higher, shunting silver to $4.81/83 an ounce from $4.77/79 last quoted in New York.","Gold's bounce pulled other precious metals higher, sending silver to $4.83/85 an ounce from $4.80/82 last quoted in New York.",1,1.0
"It will cost about $20,000 per eight-week course of treatment, comparable to other injected cancer therapies, a spokeswoman said.","It will cost about $20,000 per average course of treatment -16 to 17 weeks.",1,1.0
Teams of inspectors walked into a restricted area at one park without being stopped; others took pictures of sensitive areas without being challenged.,Teams of inspectors walked into a restricted area at one park without being stopped by employees; others took pictures of security-sensitive areas without anyone challenging them.,1,1.0
"The identical rovers will act as robotic geologists, searching for evidence of past water.","The rovers act as robotic geologists, moving on six wheels.",1,1.0
Representatives for Puretunes could not immediately be reached for comment Wednesday.,Puretunes representatives could not be located Thursday to comment on the suit.,1,1.0
"I've still got a fighting chance, though,"" Hewitt said after battling to overcome Davydenko 6-3 4-6 6-3 7-6 (7-5) on centre court.","""I'm still not red-hot favourite,"" Hewitt said after battling to down Davydenko 6-3 4-6 6-3 7-6 (7-5) on centre court.",1,1.0
"The American Anglican Council, which represents Episcopalian conservatives, said it will seek authorization to create a separate group.","The American Anglican Council, which represents Episcopalian conservatives, said it will seek authorization to create a separate province in North America because of last week's actions.",1,1.0
"The last time the survey was conducted, in 1995, those numbers matched.","In 1995, the last survey, those numbers were equal.",1,1.0
He allowed two runs in seven innings and struck out six.,Zambrano pitched seven innings and allowed two runs on five hits and four walks.,1,1.0
"Still, he said, ""I'm absolutely confident we're going to have a bill.""","""I'm absolutely confident we're going to have a bill,"" Frist, R-Tenn., said Thursday.",1,1.0
"On Thursday, a Washington Post article argued that a 50 basis point cut from the Fed was more likely, contrary to the Wall Street Journal's line.","On Thursday, a Post article argued that a 50 basis point cut from the Fed was more likely.",1,1.0
Former company chief financial officer Franklyn M. Bergonzi pleaded guilty to one count of conspiracy on June 5 and agreed to cooperate with prosecutors.,"Last week, former chief financial officer Franklyn Bergonzi pleaded guilty to one count of conspiracy and agreed to cooperate with the government's investigation.",1,1.0
U.S. District Judge Edmund Sargus ruled that the Akron-based company should have determined that changes at one of its plants would increase overall pollution emissions.,"FirstEnergy Corp. should have determined that modernizing one of its plants would increase overall pollution emissions, U.S. District Judge Edmund Sargus ruled Thursday.",1,1.0
"Mr Pollard said: ""This is a terrible personal tragedy and a shocking blow for James's family.","Nick Pollard, the head of Sky News said: ""This is a shocking blow for James's family.",1,1.0
"""IT is the only vehicle on which established economies will be able to compete,"" Barrett said.","""IT is the only vehicle on which established economies will be able to compete"" with fast-growing economies such as China and India, Barrett said.",1,1.0
"The new system costs between $1.1 million and $22 million, depending on configuration.","The system is priced from US$1.1 million to $22.4 million, depending on configuration.",1,1.0
"The first health-care worker in the country to die of SARS was a Filipina-Canadian who contracted the disease at North York General Hospital, the site of the second outbreak.","Emile Laroza, 51, contracted SARS while working as a nurse at North York General Hospital, the epicentre of the second SARS outbreak.",1,1.0
"""I'm not going to be sponsoring it because it is not our proposal but I'm not going to be negative about it"".","""I'm not going to be sponsoring it because it's not our proposal, but I'm not responding to it in a negative way,"" he said.",1,1.0
"U.S. forces struck dozens of targets on Monday, killing six guerrillas and arresting 21 others, the military said.","U.S. forces struck dozens of targets on Monday, killing six guerrillas and arresting 99 others during 1,729 patrols and 25 raids conducted over 24 hours.",1,1.0
"They came despite what BA called a ""difficult quarter"", which it said included unofficial industrial action at Heathrow.","BA said the second quarter, which included unofficial industrial action at Heathrow, had been difficult.",1,1.0
As part of a restructuring Peregrine sold its Remedy help desk software unit last year to BMC Software Inc.,Peregrine sold its Remedy business unit to BMC Software in November for $355 million.,1,1.0
Part of the accord was the implementation of a special health council that would monitor health spending and progress in reforming the health system.,"A key portion of the accord was the implementation of a special council to monitor health spending, set goals for the system and measure progress in reforming health care.",1,1.0
"The companies, Chiron and Aventis Pasteur, together made about 80 million doses of the injected vaccine, which ordinarily would have been enough to meet U.S. demand.","Chiron and Aventis Pasteur together made about 80 million doses, ordinarily enough for U.S. demand, The Associated Press reported.",1,1.0
"Investigators uncovered a 4-inch bone fragment from beneath the concrete slab Thursday, but it turned out to be an animal bone, authorities said.","Investigators uncovered a 4-inch bone fragment Thursday night, but authorities said it was from an animal.",1,1.0
"The Winston-Salem, North Carolina company opened six stores during the quarter, bringing the total to 282.","Six new Krispy Kreme stores were opened in the first quarter, bringing the total number of stores to 282.",1,1.0
"The report also claims that there will be up to 9.3 million visitors to hot spots this year, up again from the meagre 2.5 million in 2002.","There will be 9.3 million visitors to hot spots in 2003, up from 2.5 million in 2002, Gartner said.",1,1.0
"Families stuck on the highway remained in their cars, and used their cell phones to call home.","Families stuck on the highway were being urged to remain in their cars, and to use their cell phones only in case of emergency.",1,1.0
Beleaguered telecommunications gear maker Lucent Technologies is being investigated by two federal agencies for possible violations of U.S. bribery laws in its operations in Saudi Arabia.,Two federal agencies are investigating telecommunications gear maker Lucent Technologies for possible violations of U.S. bribery laws in its operations in Saudi Arabia.,1,1.0
He claimed Red Hat and the Free Software Foundation with trying to undermine U.S. copyright and patent law.,"In his letter, McBride charges the Free Software Foundation and Red Hat with trying to undermine U.S. copyright laws.",1,1.0
"At 12 months there was still a difference in function, although it was not a significant one.","At 12 months, there was still a difference between the groups, but it was not considered significant.",1,1.0
"""It just seems like all the issues that we support, he doesn't,"" said Gabriela Lemus of LULAC.","""It just seems like all the issues that we support he doesn't,"" said Gabriela Lemus, the league's director of policy and legislation.",1,1.0
"""City-grown pollution, and ozone in particular, is tougher on country trees,"" says Cornell University ecologist Jillian Gregg.","""I know this sounds counterintuitive, but it's true: City-grown pollution -- and ozone in particular -- is tougher on country trees,"" U.S. ecologist Jillian Gregg said.",1,1.0
"""We hope all parties will continue to make efforts and continue the process of dialogue,"" the Chinese Foreign Ministry said in a statement.","China's foreign ministry said: ""We hope all parties will continue to make efforts and continue the process of dialogue.""",1,1.0
"Its former chief Mickey Robinson was fired for cause when he left in September, the company said.","Chief Executive Mickey Robinson was fired for cause in September, the company said last month.",1,1.0
"Police believe Wilson shot Reynolds, then her mother once in the head before fatally turning the gun on herself.",Police believe Wilson then shot Jennie Mae Robinson once in the head before turning the gun on herself.,1,1.0
"According to security sources, London Metropolitan Police Commissioner John Stevens placed his force on its highest state of alert last week following the warning.","The Telegraph can reveal that Sir John Stevens, the Metropolitan Police Commissioner, placed his force on its highest alert last week.",1,1.0
"""The European Union is basically absent,"" said Tito Barbini, regional minister for agriculture in Tuscany, Italy.","Tito Barbini, a regional minister for agriculture in Tuscany, Italy, criticized the absence Tuesday in Sacramento.",1,1.0
"""It was a little bit embarrassing the way we played in the first two games,"" Thomas said.","""We're in the Stanley Cup finals, and it was a little bit embarrassing the way we played in the first two games.",1,1.0
"Nine seconds later, it broke the sound barrier and continued its steep powered ascent.","Nine seconds later, SpaceShipOne broke the sound barrier, the company said.",1,1.0
The plane was estimated to be within 100 pounds of its maximum takeoff weight.,"US Airways Flight 5481, which crashed Jan. 8, was judged to be within 100 pounds of its maximum takeoff weight.",1,1.0
"Gainer said the two staff aides are ""very sorry this all happened,"" and the security personnel had performed ""well within standards.""","The security personnel performed ``well within standards'' and the two staff aides were ``very sorry all this happened,'' Gainer said.",1,1.0
He also said the academy will get its own internal report next week detailing the seriousness of the remaining problem.,"The academy will get its own internal report next week and it will be made public, Rosa said.",1,1.0
"Roy Moore, the suspended chief justice of the Alabama Supreme Court, stood accused but unrepentant Wednesday in the same courtroom he recently presided over.","Moore, the suspended chief justice of the Alabama Supreme Court, stands trial before the Alabama Court of the Judiciary.",1,1.0
"The blue-chip Dow Jones industrial average .DJI climbed 164 points, or 1.91 percent, to 8,765.38, brushing its highest levels since mid-January.","The blue-chip Dow Jones industrial average .DJI tacked on 97 points, or 1.14 percent, to 8,699.",1,1.0
"But JT was careful to clarify that it was ""not certain about the outcome of the discussion at this moment"".","""However, we are not certain about the outcome of the discussion at this moment.""",1,1.0
"Tail wagging, Abbey trotted on stage with Conway before a crowd of more than 10,000 attendees at PeopleSoft's annual customer conference at the Anaheim Convention Center.","On Monday, Abbey trotted on stage, tail wagging, with Conway before a crowd of 10,000 attendees at PeopleSoft's annual customer conference.",1,1.0
"At midnight on Wednesday, 68 percent of voters said ""no"" to the tax, with 97 percent of the votes counted.","With 97 percent of precincts counted tonight, 68 percent of voters opposed the tax.",1,1.0
"""These changes may affect a large number of existing Web pages,"" the statement continued.","Still, changes to IE ""may affect a large number of existing Web pages,"" according to the W3C's notice.",1,1.0
"Barbini said the union may reach a compromise with the United States but it wants a system for labeling such foods, something the industry successfully fought here.","Barbini said the EU may reach a compromise but it wants a system for labeling such foods, something the industry has resisted.",1,1.0
The blaze then spread to several surrounding structures on the property and destroyed them.,The fire spread to several surrounding structures on the property and destroyed them as deputies held back firefighters.,1,1.0
"""I am advised that certain allegations of criminal conduct have been interposed against my counsel,"" said Silver.","""I am advised that certain allegations of criminal conduct have been interposed against my counsel, J. Michael Boxley,'' the Silver statement said. """,1,1.0
The new research will be published soon in the Proceedings of the National Academy of Sciences.,It will appear in the next few weeks on the Web site of the Proceedings of the National Academy of Sciences.,1,1.0
"Two convicted killers and another inmate escaped from a state prison on a busy street Wednesday by cutting through a fence, a Corrections Department official said.",A convicted killer and two other inmates cut through two fences topped with razor wire and escaped from a state prison on a busy street.,1,1.0
"From the start, however, the United States' declared goal was not just to topple Saddam but to stabilize Iraq and install a friendly government.",But the United States' ultimate goal was not just to topple Mr. Hussein but to stabilize the country and install a friendly government.,1,1.0
Selenski descended down the wall and used the mattress to climb over razor wire.,"Selenski used the mattress to scale a 10-foot razor wire, Fischi said.",1,1.0
"Common side effects include nasal congestion, runny nose, sore throat and cough, the FDA said.","The most common side effects after getting the nasal spray were nasal congestion, runny nose, sore throat and cough.",1,1.0
"Announcing the selection, Kmart CEO Julian Day said Grey will help the retailer ""find creative ways to communicate the unique strengths of Kmart to the new America consumer.""","Together, we will find creative ways to communicate the unique strengths of Kmart to the 'new America' consumer.""",1,1.0
Supermarket chains facing a possible grocery clerk strike this week accused union leaders Monday of breaking off contract talks prematurely over the weekend.,Supermarket chains are accusing union leaders of breaking off contract talks prematurely over the weekend as grocery clerks gear up for a possible strike.,1,1.0
The 6th U.S. Circuit Court of Appeals on Wednesday ruled that an Ohio law banning a controversial late-term abortion method passes constitutional muster and the state can enforce it.,"An Ohio law that bans a controversial late-term abortion procedure is constitutionally acceptable and the state can enforce it, a federal appeals court ruled yesterday.",1,1.0
"""We're going to do everything in our power to get money back to ratepayers as quickly as possible,"" Kennedy said.","""There's very strong interest in getting money back to the ratepayers as quickly as possible,"" Commissioner Susan Kennedy said.",1,1.0
Shares of Allergan fell 14 cents to close at $78.12 on the New York Stock Exchange (news - web sites).,Shares of Allergan were up 14 cents at $78.40 in late trading on the New York Stock Exchange.,1,1.0
"The upcoming second-quarter earnings season will be particularly important in offering investors guidance, they say.",They say second-quarter earnings reports will be key in giving investors that guidance.,1,1.0
"That took the benchmark 10-year note US10YT=RR down 9/32, its yield rising to 3.37 percent from 3.34 percent late on Thursday.","That saw the benchmark 10-year note US10YT=RR slip 5/32 in price, taking its yield to 3.36 percent from 3.34 percent late on Thursday.",1,1.0
"In the latest violence, insurgents threw a bomb at a U.S. convoy in northern Baghdad, killing one soldier.","Early Monday, insurgents threw a homemade bomb at a U.S. convoy in northern Baghdad, killing an American soldier.",1,1.0
"Consumer groups are against the changes, saying they hurt individuality in markets.","Consumer groups oppose the changes, saying they would concentrate too many outlets in too few media empires.",1,1.0
"Every Thursday, a grains management committee meets in the Commission's agriculture directorate to decide the outcome of a weekly export tender.",A grains management committee normally meets each Thursday in the Commission's agriculture unit -- another target of Wednesday's raids -- to decide the outcome of a weekly export tender.,1,1.0
"Colin Powell, the Secretary of State, said contacts with Iran would not stop.",Secretary of State Colin Powell said yesterday that contacts with Iran would continue.,1,1.0
"Stout previously worked for General Electric subsidiary GE Capital Service Inc., where he was vice president and chief technology and information officer.","Stout comes to Sprint from GE Capital, where he served as chief technology and information officer.",1,1.0
"Former South African Archbishop Desmond Tutu said Sunday he did not see what ""all the fuss"" was over appointing a gay bishop, but urged homosexual clergy to remain celibate.","South Africa's Nobel laureate Archbishop Desmond Tutu says he does not understand all the fuss about appointing a gay bishop, but he has urged homosexual clergy to remain celibate.",1,1.0
Consumers would still have to get a descrambling security card from their cable operator to plug into the set.,"To watch pay television, consumers would insert into the set a security card provided by their cable service.",1,1.0
"On Friday, the Concorde started up around sunrise and seemed to launch itself straight out of the rising sun.","Yesterday, the Concorde seemed to launch itself straight out of the rising sun.",1,1.0
"While waiting for a bomb squad to arrive, the bomb exploded, killing Wells.",The bomb exploded while authorities waited for a bomb squad to arrive.,1,1.0
"""It seems to me ... we're just dealing with bragging rights here, who wins and who loses,"" said Gammerman, who heard the case without a jury.","""Leaving aside attorney fees, we're dealing with bragging rights of who wins and who loses,"" said Gammerman.",1,1.0
"The American women, who are defending champions, will play in Philadelphia on Sept. 25 and conclude group competition in Columbus on Sept. 28.","The U.S. women, who are defending champions, will play on Sept. 25 in Philadelphia and conclude group competition on Sept. 28 in Columbus, Ohio.",1,1.0
"Its maker, MedImmune Inc., based in Gaithersburg, made 4 million to 5 million doses this year.","MedImmune Vaccines, the maker of FluMist, made between 4 million and 5 million doses this year.",1,1.0
"An incremental step reported by researchers at the University of California, San Francisco, is the latest in a decade-long effort.","The incremental step, reported by researchers at UC San Francisco, is the latest in a decade-long effort to infect mice with the virus.",1,1.0
"Bush turned out a statement yesterday thanking the commission for its work, and said, ""Our journey into space will go on.""","Mr. Bush did not discuss this when he issued a brief statement yesterday thanking the commission for its work, and saying, ""Our journey into space will go on.""",1,1.0
"The governor is going to Jackson, where 13 of the state's 16 fatalities were reported.","The governor is going to Jackson, where 13 people were killed.",1,1.0
Crews worked to install a new culvert and prepare the highway so motorists could use the eastbound lanes for travel as storm clouds threatened to dump more rain.,Crews worked to install a new culvert and repave the highway so motorists could use the eastbound lanes for travel.,1,1.0
"Buoyed by some of the advice imparted by Nicklaus, Howell shot an 8-under 64 for a one-stroke lead over Kenny Perry.","Buoyed by advice imparted by Nicklaus, Howell shot an 8-under 64 on Thursday to enter today's round with a one-stroke lead over Kenny Perry.",1,1.0
"The mock explosion, the first event in the drill, occurred in a car in industrial south Seattle.","The mock explosion of a radioactive ""dirty bomb,"" the first event in the weeklong drill, occurred on several acres in the south Seattle industrial area.",1,1.0
Aiken's study appears in the Sept. 24 issue of the Journal of the American Medical Association.,The findings appear in Wednesday's Journal of the American Medical Association.,1,1.0
"A Merrill Lynch spokesman said ""we are pleased with the judge's decision.""","""We are very pleased with the judge's decision,"" Merrill said yesterday.",1,1.0
"Trans fats are created when hydrogen is added to vegetable oil, solidifying it and increasing the shelf life of certain food products.","Trans fats are created when vegetable oil has been partially hydrogenated, solidifying it and increasing the shelf life of certain products.",1,1.0
But skeptics are concerned about the ease with which vendors can use these hardware-based security features to set digital rights management policies.,But skeptics are concerned about the ease at which these hardware-based security features could be used to set digital rights management policies by vendors.,1,1.0
"Crohn's disease causes inflammation of the intestine and symptoms include diarrhea, pain, weight loss and tiredness.","Symptoms include chronic diarrhoea, abdominal pain, weight loss and extreme tiredness.",1,1.0
Netanyahu set to call early vote,Israel's Netanyahu set to call early vote,1,1.0
Green Lantern to be reintroduced as gay by DC Comics,Green Lantern to be relaunched as gay superhero,1,1.0
Coty launches $10 billion bid for rival Avon,Coty bids $10 billion for Avon,1,1.0
Mohamed Morsi sworn in as Eygptian president,Mohamed Morsi sworn in as Egypt's President,1,1.0
IAF strike Gaza terror hubs,IAF strikes Gaza terror cell; 1 dead,1,1.0
Dali painting stolen from gallery,Salvador Dali painting snatched from New York gallery,1,1.0
"Annan urges end to Syria violence, minister defects",Annan urges end to Syrian violence,1,1.0
"PM in Tehran, asks NAM to take clear stand on Syria","Manmohan in Tehran, asks NAM to take a stand on Syria",1,1.0
South Africa train crash kills at least 19,South Africa train crash kills 26,1,1.0
Syrian troops kill 35 in Damascus suburb,Activists: Syrian troops kill dozens near Damascus,1,1.0
Jordan Opens First Tent Camp for Syrian Refugees,Jordan Opens First Refugee Camp for Syrians,1,1.0
Two blasts hit Syria capital,Two blasts rock Syrian capital,1,1.0
Music Industry Pays Tribute to Whitney Houston,Music industry mourns Whitney Houston,1,1.0
Lance Armstrong drops fight against doping charges,Lance Armstrong calls it quits in fight against doping charges,1,1.0
'Desperate Housewives' Actress Kathryn Joosten Dies,'Housewives' actress Kathryn Joosten dies at 72,1,1.0
Egypt's Coptic Pope Shenuda III dies,Egypt prepares to bury Coptic Pope Shenuda III,1,1.0
EU Set for New Sanctions on Iran,EU plans major new sanctions against Iran,1,1.0
ICC lawyer detained in Libya on security concerns,ICC lawyer held in Libya faces 45-day detention,1,1.0
China yuan weakens to 6.3282 against USD Monday,China's yuan weakens against USD for third day,1,1.0
Eurozone agrees to lend Spain up to $125 billion,Eurozone to lend Spain up to 100 bil. euros,1,1.0
South Korean economic growth falls to 3-year low,S. Korean economic growth falls to near 3-year low,1,1.0
"Russia, China Veto UN Resolution on Syria","Russia, China veto UN resolution on Syria killings",1,1.0
"Clinton: US, Europe must do more against tyrants","Clinton: US, Europe Must Work to Defeat Tyrants",1,1.0
Malawi confirms president's death,Malawi confirms President Mutharika's death,1,1.0
China Yuan Strengthens to 6.168 against USD Monday,China yuan strengthens to 6.1696 against USD Thursday,1,1.0
Shinzo Abe Selected as Japanâ€™s Prime Minister,Shinzo Abe is Japan's prime minister,1,1.0
"De Blasio sworn in as New York mayor, succeeding Bloomberg","Bill De Blasio sworn in as New York mayor, succeeding Michael Bloomberg",1,1.0
Moderate earthquake jolts NW Pakistan,Moderate earthquake hits southern Pakistan,1,1.0
Google invests $200 million in Texas wind farm,Google invests 200 million USD in Texas wind farm project,1,1.0
London Marathon observes silence for Boston bomb victims,London Marathon observes silence for Boston victims,1,1.0
"Messi nets 300th, 301st goals in Barcelona win",Football: Messi hits 300th Barcelona goal in comeback win,1,1.0
Two NATO soldiers killed in Afghanistan,NATO soldier killed in Afghan attack,1,1.0
Deaths confirmed after helicopter crashes into Scottish pub,Scottish police say at least one dead after helicopter crashes into pub,1,1.0
Afghan legislators approve new election law,Afghan president approves new election law,1,1.0
Iran says it captures drone; U.S. denies losing one,Iran says it has seized U.S. drone; U.S. says it's not true,1,1.0
New World Trade Centre tallest building in US,One World Trade Center Named Tallest US Building,1,1.0
Fashion designer Lilly Pulitzer dies,"Designer, Socialite Lilly Pulitzer Dies at 81",1,1.0
Biden calls for trust in US-China relations,Biden calls for trust in building â€˜new relationshipâ€™ with China,1,1.0
Kenya Supreme Court upholds election result,Kenya SC upholds election result,1,1.0
At least 38 Morsi supporters die in clashes,Dozens of Morsi supporters killed in Egypt clashes,1,1.0
Miss New York Crowned Miss America 2013,Miss New York is crowned Miss America,1,1.0
Matt Smith quits BBCâ€šÃ„Ã´s Doctor Who,Matt Smith quits BBC's Doctor Who,1,1.0
19 hurt in New Orleans shooting,Police: 19 hurt in NOLA Mother's Day shooting,1,1.0
Another migrant ship capsizes off Italy,"Another migrant boat capsizes off Italy, 27 dead",1,1.0
Michelle Obama To Star In Parks And Recreation,Michelle Obama to appear on 'Parks and Recreation',1,1.0
Protesters clash with police in Caracas,Protesters Clash with Police in Brazil,1,1.0
Police helicopter crashes into pub in Glasgow - several casualties,Helicopter crashes into roof of Glasgow club,1,1.0
Major fire breaks out in JK secretariat in Srinagar,Fire breaks out near secretariat in Srinagar,1,1.0
China-EU 2020 Strategic Agenda for Cooperation released at 16th China-EU Summit,Full text: China-EU 2020 Strategic Agenda for Cooperation,1,1.0
Australia cuts rates to record low,Australia cuts interest rates to record low,1,1.0
Fire in Russian psychiatric hospital kills 38,38 feared dead in Russian psychiatric hospital fire,1,1.0
"Hassoun to Mauritanian delegation: conspiracy imposed on Syria targets its stances, particularly over Palestine","Mufti : conspiracy aginst Syria targets its stances, particularly towards Palestine",1,1.0
Hong Kong set for democracy march,Hong Kong set for huge democracy rally,1,1.0
Senate confirms Janet Yellen as chair of US Federal Reserve,US Senate Confirms Janet Yellen as New Central Bank Chief,1,1.0
China yuan weakens to 6.1559 against USD,China yuan weakens to 6.1818 against USD Tuesday,1,1.0
Colorado Governor Visits School Shooting Victim,Colorado governor visits school shooting victim,1,1.0
FAA lifts ban on U.S. flights to Tel Aviv,FAA lifts ban on U.S. flights to Israel,1,1.0
World's oldest man dies at 116,Japan: World's Oldest Man Ever Dies Aged 116,1,1.0
Pakistan's Musharraf charged over Bhutto murder,Pakistan's Musharraf Charged In Bhutto Death,1,1.0
US Supreme Court limits president's recess appointments power,High court checks President's recess appointment power,1,1.0
"Euro crisis is over, says France's Francois Hollande","Eurozone debt crisis is over, says France's President",1,1.0
Treasury proposal sees 1.5% increase in income tax,Treasury proposes 1.5% income tax raise in budget,1,1.0
"EU Ministers of Employment and Social policy will discuss how to boost employment, integrate social and economic policies",EU Ministers of Employment and Social policy to discuss employment boosting strategies,1,1.0
Chinese lunar rover lands on moon,China lands robot rover on moon,1,1.0
"Iran, IAEA Officials Meet Ahead of March Nuclear Deadline","Iran, IAEA officials meet ahead of March nuclear deadline: ISNA",1,1.0
Oil falls in Asian trade,Oil prices down in Asian trade,1,1.0
Israeli forces detain Palestinian MP in Hebron,Israeli forces detain 2 Palestinians in overnight arrest raids,1,1.0
A panda is climbing.,A man is climbing a rope.,0,0.0
A woman is taking a picture.,A man is playing a guitar.,0,0.0
The man is riding a horse.,A woman is using a hoe.,0,0.0
Two little girls are talking on the phone.,A little girl is walking down the street.,0,0.0
A young man is playing the piano.,A woman is peeling a prawn.,0,0.0
A slow lori walks around.,A animal is walking around.,0,0.0
A man is making a bed.,A woman is playing a guitar.,0,0.0
A plane rides on a road.,An airplane moves along a runway.,0,0.0
The woman is dicing onions.,A woman is dancing in railway station.,0,0.0
The lady cracked an egg for the mixer.,The lady sliced up the meat.,0,0.0
Five kittens are eating out of five dishes.,Kittens are eating food on trays.,0,0.0
A man playing the guitar.,A woman is painting her lips.,0,0.0
A man is playing a flute.,A dog is barking at a fly.,0,0.0
A man is cleaning a fish on a kitchen counter.,A man is playing a flute.,0,0.0
A person is chopping coriander leaves.,A woman is slicing up some green leaves.,0,0.0
A man is pressing microwave buttons.,A man turns on the microwave.,0,0.0
A woman is riding on a horse.,A man is shooting off guns.,0,0.0
The boy is playing the piano.,A band is playing on stage.,0,0.0
The cook is kneading the flour.,A woman is kneading tortilla dough.,0,0.0
A woman is putting her baby in a waste bin.,The woman is poking holes in the potato.,0,0.0
A cat is pouncing on a trampoline.,A man is slicing a tomato.,0,0.0
A woman is riding on a horse.,A man is turning over tables in anger.,0,0.0
A man is screwing wood to a wall.,A man is giving a woman a massage.,0,0.0
A small baby is playing a guitar.,"A boy sits on a bed, sings and plays a guitar.",0,0.0
A woman is chopping onion.,A man is doing a card trick.,0,0.0
Men are jumping into water from a bridge.,Men jump in a river.,0,0.0
A woman is peeling some fish.,A woman is pouring a yellow mixture on a frying pan.,0,0.0
People are playing baseball.,The cricket player hit the ball.,0,0.0
A person is boiling soup.,A woman is placing eggs into a pan.,0,0.0
A woman is dancing.,A man breaks a stick.,0,0.0
A ballet dancer is performing on stage.,The beaver is being petted.,0,0.0
A man shoots a basket.,A man is playing a guitar.,0,0.0
The elephants are bathing.,Two women are singing.,0,0.0
The man cut up an onion.,A man is dancing.,0,0.0
A girl is dancing in a cage.,A onion is being chopped.,0,0.0
A cat is on a robot.,A man is eating bread.,0,0.0
The lady stirred up raw eggs in the bowl.,A woman is pouring eyes into a bowl.,0,0.0
A cow is eating grass.,A dog is pulling a girl down a hill.,0,0.0
The man stirred the sauce for the chicken.,The man is stirring oil.,0,0.0
A woman is peeling an orange.,A woman cuts off a small piece of lemon rind.,0,0.0
Someone is beating an egg.,A woman stirs eggs in a bowl.,0,0.0
A man is cutting a potato.,A woman plays an electric guitar.,0,0.0
A man is buttering a piece of bread.,A slow loris hanging on a cord.,0,0.0
A woman cuts up some vegetables.,A woman is placing skewered food onto a cooker.,0,0.0
A man plays an acoustic guitar.,A woman and dog are walking together.,0,0.0
A man is talking on a cell phone.,A guy is talking into a microphone.,0,0.0
A woman is applying makeup.,A man is playing a guitar.,0,0.0
A person drops a camera down an escelator.,A man tosses a bag down an escalator.,0,0.0
A man is singing into a microphone.,A man is dancing in the rain.,0,0.0
A woman is cooking meat.,A man is speaking.,0,0.0
The boy is playing the piano.,The woman is pouring oil into the pan.,0,0.0
A man is cutting a potato.,A woman is climbing a rock wall.,0,0.0
A woman is feeding a baby.,A man is adding water to pan.,0,0.0
A man is playing a guitar.,A woman is riding a horse.,0,0.0
A woman is mixing eggs.,The woman is eating.,0,0.0
A man is riding on a boat.,A man is tying in the machine.,0,0.0
A man is serving cake.,A man seasoning quail.,0,0.0
Someone is greating a carrot.,A woman is grating an orange food.,0,0.0
A monkey is karate kicking a person.,A monkey pratices martial arts.,0,0.0
A woman is removing skin from some meat.,A woman is slicing a tomato.,0,0.0
A woman is relaxing in a bath tub.,A woman is stabbing a potato with a fork.,0,0.0
A woman is adding oil on fishes.,The woman is cutting potatoes.,0,0.0
A man is slicing a carrot by a machine.,A man is standing in the rain.,0,0.0
A woman is riding a horse on the beach.,A woman is washing a bowl.,0,0.0
A woman is collecting tap water in a mug.,A boy is filling a pitcher with water.,0,0.0
The dog could not figure out how to get a stick out the doggy door.,A dog is trying to get through his dog door.,0,0.0
A woman is mixing eggs in the bowl.,A man is doing push ups.,0,0.0
The lady made some slices on the shrimp.,A chef is slicing a shrimp.,0,0.0
Someone is mixing a liquid.,A man is playing a guitar.,0,0.0
A woman is slicing big pepper.,A man is playing an instrument.,0,0.0
The animal with the big eyes is eating.,A slow loris is eating.,0,0.0
A baby is crawling happily.,A cat is walking on hardwood floor.,0,0.0
A tiger club is playing with a ball.,A person is chopping shrimp with a knife.,0,0.0
A woman is slicing fruit.,Two women are slicing some lemons.,0,0.0
A dog knocks a boy into the water twice.,A dog pushes a toddler into a rain puddle.,0,0.0
Women are holding each other and dancing together.,Two men are playing table tennis.,0,0.0
The man is trying to feed the snake with a mouse.,A man is working on his laptop.,0,0.0
A tiger is playing with his trainer.,A tiger attacks a man.,0,0.0
A cat is playing with a watermelon on a floor.,A man is pouring oil into a pan.,0,0.0
A cat retrieves an object out of a dish of water.,The cat tried to eat the corn on the cob.,0,0.0
A chef is slicing carrot.,A person is drawing a picture.,0,0.0
A woman is adding some mushrooms and liquid to a pot.,A young man is playing the guitar.,0,0.0
A man is passionately playing a guitar in front of an audience.,A woman is peeling a potato.,0,0.0
The girl is slicing an onion.,A woman is chopping an onion into small pieces.,0,0.0
The man is aiming a gun.,A boy is playing on a toy phone.,0,0.0
The lamb is looking at the camera.,A small bird standing on a log at the waters edge.,0,0.0
A bull standing in the field.,A brown horse stands in a lush green field.,0,0.0
The black and white cows pause in front of the gate.,A black cow and a brown cow stands in a plain in front of an uprooted tree.,0,0.0
Older man wearing beret with mountains in background.,A sheep in the morning mist with trees in the background.,0,0.0
A small red and gray bird perched amongst the bare branches of a tree.,A red and brown bird is perched on branches.,0,0.0
Two horses standing in a field with trees in the background.,A black and white bird on a body of water with grass in the background.,0,0.0
The udders of a dairy cow that is standing in a pasture near a large building.,The black and brown cow is standing on the green grass.,0,0.0
A coal train traveling down the tracks.,An old train sits idle on the tracks.,0,0.0
World news headlines displayed on a large screen.,A man dressed for a race relaxes.,0,0.0
Brown and white ducks walking on green grass.,A red and white plane flying on a sunny day.,0,0.0
People ride mopeds in an urban setting.,People riding horses in a fenced area.,0,0.0
Large silver locomotive engine in a shed.,The silver train is parked in a station.,0,0.0
A scantily clad woman is standing next to a car.,A yellow and orange bird hold on to the side of a cage.,0,0.0
